                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0309,                 5.3862,                 1.3997,                      0,                      0,                      0,                      0,                 3.2029,                  4.162,                 1.1715,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 4.1198,                 5.0617,                 1.3913,                      0,                      0,                      0,                      0,                 2.6144,                 4.0962,                0.98764,             0.00011553,             0.00011553,             0.00011553
                      3,                 2.9341,                 4.0031,                 0.9994,                0.01389,                0.08621,                 0.0082,                0.00195,                 2.4663,                  3.996,                0.93487,             0.00017974,             0.00017974,             0.00017974
                      4,                 2.6075,                 2.9139,                0.94892,                0.01511,                0.09483,                0.00924,                0.00261,                 2.3865,                 3.8232,                0.90207,             0.00024262,             0.00024262,             0.00024262
                      5,                 2.4273,                 1.9313,                 0.9285,                0.02304,                0.14655,                0.01506,                0.00409,                 2.2987,                 3.7243,                0.89072,             0.00030419,             0.00030419,             0.00030419
                      6,                 2.1726,                 2.4649,                0.93994,                   0.03,                0.18103,                0.02056,                0.00701,                 2.0319,                 3.5714,                0.87516,             0.00036443,             0.00036443,             0.00036443
                      7,                 2.3644,                 1.9311,                0.91955,                0.02754,                0.16379,                0.01828,                0.00699,                 2.0615,                  3.521,                0.88287,             0.00042335,             0.00042335,             0.00042335
                      8,                  2.581,                 2.4892,                0.90843,                0.02584,                0.14655,                0.01673,                0.00489,                 2.1085,                 3.4701,                0.87716,             0.00048096,             0.00048096,             0.00048096
                      9,                 2.6232,                  2.896,                0.92624,                0.01278,                0.06897,                0.00739,                0.00325,                 1.8932,                 3.2602,                0.86436,             0.00053724,             0.00053724,             0.00053724
                     10,                 2.3502,                 1.6855,                0.90308,                0.02063,                0.11207,                0.01907,                0.00861,                 1.9277,                 3.0702,                0.87626,              0.0005922,              0.0005922,              0.0005922
                     11,                 2.3161,                  1.675,                0.88322,                0.04399,                0.25862,                0.09013,                 0.0376,                 1.9243,                 2.9324,                0.87239,             0.00064585,             0.00064585,             0.00064585
                     12,                 2.1299,                  1.546,                0.88595,                  0.063,                0.40517,                0.21131,                0.11039,                 1.9558,                 2.6928,                0.88173,             0.00069817,             0.00069817,             0.00069817
                     13,                 2.2275,                 1.8307,                0.88503,                0.04783,                0.28448,                0.11182,                0.05747,                 1.8184,                 2.9401,                0.86157,             0.00074917,             0.00074917,             0.00074917
                     14,                 2.4763,                 1.7635,                0.87127,                0.04972,                0.30172,                0.14504,                0.07773,                 1.8553,                 2.9285,                0.86124,             0.00079885,             0.00079885,             0.00079885
                     15,                 2.2767,                  1.667,                 0.8953,                 0.0614,                0.42241,                0.23064,                0.12574,                 1.9453,                 2.6903,                0.88402,             0.00084721,             0.00084721,             0.00084721
                     16,                  2.277,                 1.5506,                0.89623,                0.06416,                 0.4569,                0.35499,                0.19296,                 1.9591,                  2.544,                0.88587,             0.00089425,             0.00089425,             0.00089425
                     17,                  2.134,                  1.633,                0.89206,                0.06322,                0.47414,                0.39185,                0.21977,                 1.7964,                  2.412,                0.85958,             0.00093997,             0.00093997,             0.00093997
                     18,                 1.9065,                 1.9856,                0.89756,                0.81154,                0.43966,                0.39336,                0.21125,                 1.7555,                 2.3672,                0.86246,             0.00098438,             0.00098438,             0.00098438
                     19,                  2.202,                 1.5078,                0.87731,                0.06279,                0.46552,                0.39433,                0.22573,                 1.6604,                  2.371,                0.85239,              0.0010275,              0.0010275,              0.0010275
                     20,                 2.0386,                 1.4715,                0.87998,                 0.8062,                0.41379,                0.36807,                0.20241,                 1.7346,                 2.3439,                0.85496,              0.0010692,              0.0010692,              0.0010692
                     21,                 1.8905,                 1.3979,                0.87392,                 0.9241,                0.09644,                0.37413,                0.19394,                 1.7612,                 2.0714,                0.85782,              0.0011097,              0.0011097,              0.0011097
                     22,                 2.0059,                 1.5117,                0.89803,                0.92445,                0.14535,                0.38647,                0.19184,                  1.801,                 2.0497,                0.85873,              0.0011488,              0.0011488,              0.0011488
                     23,                 1.9067,                 1.3565,                0.87465,                0.97693,                0.17833,                0.39397,                0.15496,                 2.1945,                 2.0317,                0.88466,              0.0011866,              0.0011866,              0.0011866
                     24,                 1.9462,                 1.4341,                0.86502,                0.92136,                0.18486,                0.38488,                0.16518,                 2.1358,                 1.9931,                0.88216,              0.0012231,              0.0012231,              0.0012231
                     25,                 1.9437,                 1.4348,                0.87506,                0.97946,                0.20127,                0.42347,                0.23425,                  1.747,                 1.8751,                0.85245,              0.0012582,              0.0012582,              0.0012582
                     26,                 2.0718,                 1.3952,                 0.8809,                0.95925,                0.30172,                0.44464,                0.25289,                 1.6167,                 1.7376,                0.84168,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.8019,                 1.3023,                0.87733,                0.91917,                0.31299,                0.45248,                0.22782,                 1.7904,                 1.6354,                0.85227,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.7738,                 1.3342,                0.86108,                0.89652,                0.30172,                0.45524,                0.21306,                 1.9182,                  1.654,                0.86387,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.0579,                 1.4937,                0.87311,                0.82912,                0.35345,                0.43412,                0.22022,                  1.746,                 1.6511,                0.85485,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.6966,                 2.4461,                 0.8639,                0.85818,                0.33621,                0.44118,                0.22322,                 1.6888,                 1.5376,                0.85169,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.8181,                 1.3417,                0.86161,                0.83902,                0.32681,                0.44599,                0.22512,                 1.7407,                  1.406,                0.85094,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.5618,                 1.2162,                0.85416,                0.86794,                0.37069,                0.49138,                0.29053,                 1.6277,                 1.3616,                 0.8411,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.9113,                    1.3,                 0.8553,                0.88714,                0.35345,                0.50157,                0.26878,                  1.748,                 1.4638,                0.84639,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.6221,                 1.2836,                0.84881,                0.88627,                0.36207,                0.46538,                0.22234,                 1.8262,                 1.4366,                0.84934,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.9124,                 1.2885,                0.85792,                0.91295,                0.37069,                0.49279,                0.23985,                 1.7356,                 1.2435,                0.84008,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.9592,                 1.3069,                0.85026,                0.89941,                0.37931,                0.51147,                0.27929,                 1.5857,                 1.1296,                0.83112,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.1431,                 1.3223,                0.87857,                0.94872,                 0.3772,                 0.5184,                0.29254,                 1.5256,                 1.1034,                0.82984,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.7892,                 4.2751,                0.84477,                0.93682,                0.36207,                0.48655,                0.28401,                 1.5833,                 1.1396,                0.83173,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.807,                 1.2611,                0.85785,                0.91361,                 0.3715,                0.49487,                0.24918,                 1.7313,                 1.1979,                0.83909,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.8429,                 1.2647,                 0.8643,                0.92669,                0.37069,                0.49826,                0.28463,                 1.5991,                 1.1375,                 0.8319,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.7846,                 1.3516,                0.85193,                0.91741,                0.38793,                 0.5612,                0.32633,                  1.468,                 1.0891,                0.83376,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.9085,                 1.2123,                0.86121,                0.88158,                0.41672,                0.58475,                0.34127,                 1.4706,                 1.1282,                0.83227,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.1164,                 1.2669,                0.85652,                0.94543,                0.37069,                0.57127,                0.33501,                 1.4778,                  1.124,                0.82619,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.7839,                 1.2556,                0.84981,                0.93507,                0.37931,                0.55636,                0.32682,                 1.4934,                 1.0737,                0.82769,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.8688,                 1.2164,                0.84351,                0.92782,                0.38793,                0.57187,                0.32943,                 1.4584,                 1.0296,                0.82882,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.6745,                 1.1997,                0.83523,                0.54703,                0.53061,                0.62069,                0.34366,                 1.4851,                0.98212,                0.83589,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.6794,                 1.1304,                0.82997,                0.57053,                0.53695,                0.64946,                 0.3639,                 1.4936,                0.98621,                0.83698,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.6838,                 1.2178,                0.84367,                0.56151,                0.54781,                0.63529,                0.37443,                 1.4169,                0.99854,                0.83424,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.5819,                 1.1202,                0.84671,                0.50133,                0.59546,                0.63961,                0.37662,                 1.4007,                 1.0136,                0.82548,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.8417,                 1.2151,                0.84226,                0.52965,                0.62474,                0.67453,                0.39381,                 1.3996,                 1.0079,                0.82435,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.8333,                 1.2021,                0.84351,                0.57731,                0.61652,                0.69336,                0.39541,                 1.4071,                0.96538,                0.82512,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.6075,                 1.0779,                0.84225,                0.63963,                0.60725,                0.70174,                0.41036,                 1.4002,                0.96004,                 0.8257,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.7231,                 1.1644,                0.84817,                0.58435,                0.63871,                0.69298,                0.41368,                 1.3975,                0.96881,                0.82536,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.0621,                 1.1947,                0.85855,                0.50126,                0.60188,                0.68863,                0.42531,                 1.3775,                0.99722,                0.82428,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.7473,                  1.128,                0.84042,                0.42679,                0.61205,                0.68287,                 0.4211,                 1.3876,                 1.0279,                0.82632,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.7674,                 1.1574,                 0.8374,                0.49887,                 0.6105,                0.69763,                0.43215,                 1.2999,                0.96822,                0.82666,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.5841,                  1.197,                0.84263,                0.62165,                0.57602,                0.71934,                0.43582,                 1.3324,                0.95061,                0.82397,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.3809,                 1.0379,                0.82545,                0.66466,                0.64969,                0.71239,                 0.4362,                 1.3137,                0.96623,                0.82394,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.6102,                 1.1105,                 0.8445,                0.81682,                 0.5839,                0.75788,                0.45885,                 1.3328,                 0.9291,                0.82111,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.4877,                 1.0297,                0.82428,                0.76832,                0.62184,                0.76594,                0.45358,                 1.3479,                0.90637,                0.82155,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.5644,                 1.0808,                0.84682,                0.74068,                 0.6171,                0.74895,                0.44931,                 1.3538,                0.95255,                0.82577,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.4121,                 1.0894,                0.84431,                0.78791,                0.59561,                0.74495,                0.45444,                 1.3465,                 1.0127,                0.82916,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.4444,                  1.726,                0.77342,                0.86212,                0.59301,                0.75693,                0.46989,                 1.3333,                 1.0083,                0.82412,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.652,                 1.1239,                0.84128,                 0.7344,                 0.5903,                0.74216,                 0.4486,                 1.3906,                0.97441,                0.82344,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.5972,                 1.0587,                0.84283,                0.66225,                0.62523,                 0.7601,                0.45157,                 1.4058,                0.96193,                0.82375,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.6275,                  1.137,                 0.8344,                0.72562,                0.66484,                0.76583,                0.46864,                 1.3924,                0.91916,                0.82598,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.6078,                 1.1305,                0.82707,                0.72903,                0.70457,                0.78598,                0.49139,                 1.3392,                0.90722,                0.82415,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.4877,                  1.052,                0.82868,                0.77165,                0.71247,                0.78732,                0.49291,                 1.3825,                0.93219,                0.82503,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.6166,                 1.0374,                0.83065,                0.74971,                0.69664,                0.79742,                0.49683,                 1.3795,                0.93181,                0.82309,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5644,                 1.2183,                0.83166,                0.73162,                0.66693,                0.79121,                0.47163,                 1.3824,                0.91745,                0.82262,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5246,                 1.0357,                0.82585,                0.75338,                0.66693,                0.78554,                0.47283,                 1.3162,                0.91051,                0.82164,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.5768,                 1.0642,                0.83337,                0.74813,                0.66693,                0.78698,                0.50765,                 1.2777,                0.90987,                 0.8246,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.5892,                 1.0541,                0.83409,                0.72478,                0.68217,                0.79449,                0.48746,                 1.3558,                0.92919,                0.82553,             0.00049527,             0.00049527,             0.00049527
                     74,                  1.982,                 1.2408,                 0.8524,                0.73575,                0.70658,                0.79454,                0.48041,                 1.3889,                0.93636,                0.82628,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.5047,                 1.0398,                0.82901,                0.68667,                  0.721,                0.79884,                0.50299,                 1.3277,                0.89018,                0.82431,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.4929,                 1.0063,                0.83157,                0.69803,                 0.7636,                0.81823,                0.52102,                 1.2992,                 0.8617,                0.82119,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.4849,                 1.0333,                0.82932,                0.65294,                 0.7614,                0.80809,                0.50787,                 1.2658,                 0.8344,                0.81806,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.7246,                  1.038,                0.83241,                0.65287,                  0.721,                0.80448,                 0.4905,                 1.2864,                0.84684,                0.81715,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.4752,                0.99504,                0.83094,                0.67586,                  0.721,                0.81035,                0.47911,                 1.3251,                0.83745,                0.81792,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.5479,                0.97168,                0.82245,                0.69183,                  0.721,                0.79731,                0.47595,                  1.321,                0.82938,                0.81853,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.3128,                0.99237,                0.82827,                0.69492,                0.72363,                0.79952,                0.49367,                 1.2704,                0.83435,                0.81803,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.5959,                 1.0392,                0.83852,                0.70488,                0.74352,                0.80729,                0.51259,                 1.2391,                0.84164,                0.81878,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.4909,                0.99056,                0.82798,                0.70274,                0.70392,                0.80815,                0.50373,                 1.2342,                0.84095,                0.82074,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.4122,                0.96148,                0.82802,                0.80207,                0.64969,                0.80492,                0.48568,                 1.2829,                0.84908,                0.82219,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.5431,                 0.9896,                0.83057,                0.82657,                0.64107,                0.80754,                0.47749,                 1.3441,                0.85649,                0.82651,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.3462,                0.95032,                0.83341,                0.82562,                0.64241,                0.80419,                0.49568,                 1.3035,                0.84118,                0.82265,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.3128,                0.92282,                0.82704,                0.77121,                0.65192,                0.81178,                0.51508,                 1.2452,                0.82232,                0.82088,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.3988,                0.94329,                0.83893,                0.81069,                0.69039,                0.80914,                0.51065,                 1.2347,                 0.8309,                0.82194,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.5962,                 1.0532,                 0.8339,                0.74187,                0.69514,                  0.809,                0.51107,                  1.218,                0.85499,                0.82138,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.2953,                0.94915,                0.82274,                0.74392,                0.69272,                0.80504,                0.50614,                 1.2521,                0.87614,                0.82113,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.8644,                 1.2236,                0.84595,                0.76079,                0.69214,                0.80649,                0.49003,                 1.2877,                0.90345,                0.82306,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.2772,                0.97269,                0.81964,                0.71546,                0.69439,                0.80294,                0.49158,                 1.2566,                0.89491,                0.81937,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0904,                0.90229,                0.81576,                0.70992,                0.69514,                0.81265,                0.50568,                 1.2385,                0.87054,                0.81989,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0991,                0.85442,                0.81324,                0.72164,                 0.7278,                0.81842,                0.50779,                 1.2333,                0.85927,                  0.819,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.3027,                0.96188,                 0.8066,                0.72402,                0.73525,                0.82427,                0.49931,                 1.2488,                0.84114,                0.81891,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.3238,                 1.0134,                 0.8229,                0.72418,                0.73206,                0.82644,                0.48993,                 1.2679,                0.83585,                0.81931,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.2339,                0.90623,                0.81283,                0.80377,                0.69237,                 0.8148,                0.49906,                 1.2664,                0.84422,                0.82013,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.1701,                 0.9009,                0.82399,                 0.7559,                0.68691,                0.81275,                 0.4939,                 1.2688,                0.85767,                0.82051,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.9344,                 1.2383,                0.86811,                0.76803,                0.70019,                0.80915,                0.50236,                 1.2332,                0.85346,                0.81891,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                  1.205,                0.90284,                0.82447,                0.76794,                0.69699,                0.80968,                0.49586,                 1.2289,                0.85327,                0.81811,             4.9677e-05,             4.9677e-05,             4.9677e-05
